Cities,Day_pre,Day_after,avg_price
Stockholm,2024-04-26,2024-04-28,1066.0
Stockholm,2024-05-03,2024-05-05,1116.0
Stockholm,2024-05-10,2024-05-12,1188.0
Stockholm,2024-05-17,2024-05-19,1647.0
Stockholm,2024-05-24,2024-05-26,1153.0
Stockholm,2024-05-31,2024-06-02,1115.0
Stockholm,2024-06-07,2024-06-09,1107.0
Copenhagen,2024-04-26,2024-04-28,1568.0
Copenhagen,2024-05-03,2024-05-05,1601.0
Copenhagen,2024-05-10,2024-05-12,1619.0
Copenhagen,2024-05-17,2024-05-19,1601.0
Copenhagen,2024-05-24,2024-05-26,1596.0
Copenhagen,2024-05-31,2024-06-02,1599.0
Copenhagen,2024-06-07,2024-06-09,1603.0
Paris,2024-04-18,2024-04-21,1838.0
Paris,2024-04-25,2024-04-28,1825.0
Paris,2024-05-02,2024-05-05,1956.0
Paris,2024-05-09,2024-05-12,2106.0
Paris,2024-05-16,2024-05-19,1976.0
Paris,2024-05-23,2024-05-26,1953.0
Paris,2024-05-30,2024-06-02,2048.0
Berlin,2024-04-18,2024-04-21,1381.0
Berlin,2024-04-25,2024-04-28,1402.0
Berlin,2024-05-02,2024-05-05,1430.0
Berlin,2024-05-09,2024-05-12,1475.0
Berlin,2024-05-16,2024-05-19,1460.0
Berlin,2024-05-23,2024-05-26,1488.0
Berlin,2024-05-30,2024-06-02,1484.0
Amsterdam,2024-06-13,2024-06-15,2128.0
Amsterdam,2024-06-20,2024-06-22,2145.0
Amsterdam,2024-06-27,2024-06-29,2160.0
Amsterdam,2024-07-04,2024-07-06,2393.0
Amsterdam,2024-07-11,2024-07-13,2171.0
Amsterdam,2024-07-18,2024-07-20,2190.0
Amsterdam,2024-07-25,2024-07-27,2191.0
Bruxelles,2024-06-13,2024-06-15,1057.0
Bruxelles,2024-06-20,2024-06-22,1064.0
Bruxelles,2024-06-27,2024-06-29,1062.0
Bruxelles,2024-07-04,2024-07-06,1058.0
Bruxelles,2024-07-11,2024-07-13,1056.0
Bruxelles,2024-07-18,2024-07-20,1061.0
Bruxelles,2024-07-25,2024-07-27,1056.0
Lisbon,2024-05-03,2024-05-04,1120.0
Lisbon,2024-05-10,2024-05-11,1151.0
Lisbon,2024-05-17,2024-05-18,1132.0
Lisbon,2024-05-24,2024-05-25,1289.0
Lisbon,2024-05-31,2024-06-01,1146.0
Lisbon,2024-06-07,2024-06-08,1172.0
Lisbon,2024-06-14,2024-06-15,1160.0
Barcelona,2024-05-03,2024-05-04,1603.0
Barcelona,2024-05-10,2024-05-11,1601.0
Barcelona,2024-05-17,2024-05-18,1631.0
Barcelona,2024-05-24,2024-05-25,1661.0
Barcelona,2024-05-31,2024-06-01,1782.0
Barcelona,2024-06-07,2024-06-08,1664.0
Barcelona,2024-06-14,2024-06-15,1693.0
Warsaw,2024-07-11,2024-07-13,839.0
Warsaw,2024-07-18,2024-07-20,831.0
Warsaw,2024-07-25,2024-07-27,829.0
Warsaw,2024-08-01,2024-08-03,4603.0
Warsaw,2024-08-08,2024-08-10,920.0
Warsaw,2024-08-15,2024-08-17,967.0
Warsaw,2024-08-22,2024-08-24,960.0
Krakow,2024-07-11,2024-07-13,845.0
Krakow,2024-07-18,2024-07-20,843.0
Krakow,2024-07-25,2024-07-27,845.0
Krakow,2024-08-01,2024-08-03,846.0
Krakow,2024-08-08,2024-08-10,884.0
Krakow,2024-08-15,2024-08-17,904.0
Krakow,2024-08-22,2024-08-24,874.0
Milan,2024-06-22,2024-06-23,1326.0
Milan,2024-06-29,2024-06-30,1329.0
Milan,2024-07-06,2024-07-07,1348.0
Milan,2024-07-13,2024-07-14,1438.0
Milan,2024-07-20,2024-07-21,1340.0
Milan,2024-07-27,2024-07-28,1336.0
Milan,2024-08-03,2024-08-04,1279.0
Rome,2024-06-22,2024-06-23,1664.0
Rome,2024-06-29,2024-06-30,1633.0
Rome,2024-07-06,2024-07-07,1628.0
Rome,2024-07-13,2024-07-14,1828.0
Rome,2024-07-20,2024-07-21,1620.0
Rome,2024-07-27,2024-07-28,1607.0
Rome,2024-08-03,2024-08-04,1630.0
Zürich,2024-06-18,2024-06-19,1398.0
Zürich,2024-06-25,2024-06-26,1385.0
Zürich,2024-07-02,2024-07-03,1426.0
Zürich,2024-07-09,2024-07-10,1424.0
Zürich,2024-07-16,2024-07-17,1410.0
Zürich,2024-07-23,2024-07-24,1408.0
Zürich,2024-07-30,2024-07-31,1394.0
Oslo,2024-06-18,2024-06-19,1274.0
Oslo,2024-06-25,2024-06-26,1282.0
Oslo,2024-07-02,2024-07-03,1278.0
Oslo,2024-07-09,2024-07-10,1292.0
Oslo,2024-07-16,2024-07-17,1279.0
Oslo,2024-07-23,2024-07-24,1277.0
Oslo,2024-07-30,2024-07-31,1273.0
Munchen,2024-07-06,2024-07-07,1509.0
Munchen,2024-07-13,2024-07-14,1490.0
Munchen,2024-07-20,2024-07-21,1517.0
Munchen,2024-07-27,2024-07-28,1628.0
Munchen,2024-08-03,2024-08-04,1360.0
Munchen,2024-08-10,2024-08-11,1394.0
Munchen,2024-08-17,2024-08-18,1494.0
Prag,2024-07-06,2024-07-07,1651.0
Prag,2024-07-13,2024-07-14,1609.0
Prag,2024-07-20,2024-07-21,1611.0
Prag,2024-07-27,2024-07-28,1604.0
Prag,2024-08-03,2024-08-04,1937.0
Prag,2024-08-10,2024-08-11,1955.0
Prag,2024-08-17,2024-08-18,1945.0
Madrid,2024-05-08,2024-05-10,952.0
Madrid,2024-05-15,2024-05-17,954.0
Madrid,2024-05-22,2024-05-24,954.0
Madrid,2024-05-29,2024-05-31,1309.0
Madrid,2024-06-05,2024-06-07,957.0
Madrid,2024-06-12,2024-06-14,964.0
Madrid,2024-06-19,2024-06-21,948.0
Athen,2024-05-08,2024-05-10,865.0
Athen,2024-05-15,2024-05-17,869.0
Athen,2024-05-22,2024-05-24,864.0
Athen,2024-05-29,2024-05-31,877.0
Athen,2024-06-05,2024-06-07,870.0
Athen,2024-06-12,2024-06-14,884.0
Athen,2024-06-19,2024-06-21,886.0
Lyon,2024-05-12,2024-05-13,919.0
Lyon,2024-05-19,2024-05-20,921.0
Lyon,2024-05-26,2024-05-27,927.0
Lyon,2024-06-02,2024-06-03,1010.0
Lyon,2024-06-09,2024-06-10,931.0
Lyon,2024-06-16,2024-06-17,927.0
Lyon,2024-06-23,2024-06-24,996.0
Bologna,2024-05-12,2024-05-13,1033.0
Bologna,2024-05-19,2024-05-20,1076.0
Bologna,2024-05-26,2024-05-27,1025.0
Bologna,2024-06-02,2024-06-03,1019.0
Bologna,2024-06-09,2024-06-10,1022.0
Bologna,2024-06-16,2024-06-17,1017.0
Bologna,2024-06-23,2024-06-24,1018.0
Gelsenkirchen,2024-06-26,2024-06-28,778.0
Gelsenkirchen,2024-07-03,2024-07-05,771.0
Gelsenkirchen,2024-07-10,2024-07-12,779.0
Gelsenkirchen,2024-07-17,2024-07-19,1003.0
Gelsenkirchen,2024-07-24,2024-07-26,773.0
Gelsenkirchen,2024-07-31,2024-08-02,788.0
Gelsenkirchen,2024-08-07,2024-08-09,778.0
Herning,2024-06-26,2024-06-28,953.0
Herning,2024-07-03,2024-07-05,958.0
Herning,2024-07-10,2024-07-12,962.0
Herning,2024-07-17,2024-07-19,952.0
Herning,2024-07-24,2024-07-26,957.0
Herning,2024-07-31,2024-08-02,959.0
Herning,2024-08-07,2024-08-09,782.0
Hamburg,2024-07-02,2024-07-03,1072.0
Hamburg,2024-07-09,2024-07-10,1057.0
Hamburg,2024-07-16,2024-07-17,1054.0
Hamburg,2024-07-23,2024-07-24,1116.0
Hamburg,2024-07-30,2024-07-31,1072.0
Hamburg,2024-08-06,2024-08-07,1184.0
Hamburg,2024-08-13,2024-08-14,1189.0
Århus,2024-07-02,2024-07-03,1020.0
Århus,2024-07-09,2024-07-10,1023.0
Århus,2024-07-16,2024-07-17,1021.0
Århus,2024-07-23,2024-07-24,1026.0
Århus,2024-07-30,2024-07-31,1026.0
Århus,2024-08-06,2024-08-07,897.0
Århus,2024-08-13,2024-08-14,866.0
Vienna,2024-07-18,2024-07-20,1229.0
Vienna,2024-07-25,2024-07-27,1216.0
Vienna,2024-08-01,2024-08-03,1286.0
Vienna,2024-08-08,2024-08-10,3759.0
Vienna,2024-08-15,2024-08-17,1345.0
Vienna,2024-08-22,2024-08-24,1781.0
Vienna,2024-08-29,2024-08-31,1288.0
Firenze,2024-07-18,2024-07-20,1707.0
Firenze,2024-07-25,2024-07-27,1675.0
Firenze,2024-08-01,2024-08-03,1724.0
Firenze,2024-08-08,2024-08-10,1713.0
Firenze,2024-08-15,2024-08-17,1730.0
Firenze,2024-08-22,2024-08-24,1719.0
Firenze,2024-08-29,2024-08-31,1757.0
